"Comment","Designator","Footprint","LCSC Part Number"
"OLED2","J1","",""
"OLED1","J2","",""
"MountingHole1","J3","",""
"MountingHole2","J4","",""
"MountingHole3","J5","",""
"MountingHole4","J6","",""
"BATT","J7","",""
"DEBUG_UART","J8","",""
"BATT_ALT","J9","",""
"Pico","U1","",""
"LED","D1","0603","C2286"
"1u","C2","0805","C1712"
"4u7","C3","0805","C1746"
"10K","R1","0805","C149881"
"470","R2","0805","C21266"
"Left","SW2","C318915","C318915"
"Center","SW3","C318915","C318915"
"Right","SW4","C318915","C318915"
"SW_SPDT","SW1","SMD","C92658"
"DMP1045U","Q1","SOT-23","C177033"
"MCP73831T-2ACI_OT","U2","SOT-23-5","C424093"
