Designator,Val,Package,MidX,MidY,Rotation,Layer
"C2","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.000000,-82.000000,90.000000,top
"C3","4u7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",89.000000,-63.000000,0.000000,top
"D1","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",87.000000,-72.500000,-90.000000,top
"Q1","DMP1045U","TSOT-23",89.000000,-82.310000,90.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.000000,-72.000000,-90.000000,top
"R2","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",89.000000,-76.000000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_CK_JS102011SAQN",142.000000,-69.400000,90.000000,top
"SW2","Left","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR",96.500000,-118.150000,90.000000,top
"SW3","Center","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR",113.950000,-118.150000,90.000000,top
"SW4","Right","SW_Push_1P1T_NO_CK_PTS125Sx43PSMTR",129.500000,-118.150000,90.000000,top
"U2","MCP73831T-2ACI_OT","SOT-23-5_HandSoldering",89.000000,-68.000000,-90.000000,top
